year,tpr
2009,0.034823768066942776
2010,0.12505824473074292
2011,0.0914979658237462
2012,0.3046218844682193
2013,0.18032245321439058
2014,0.1449189261504403
2015,0.13174903520935927
2016,0.11413110756254077
2017,0.08746233495080767
