year,conductance,total_edges,selected_edges
2009,0.9457611668185961,22293,11001
2010,0.6693613581244947,402087,54324
2011,0.16477272727272727,16633151,4034439
2012,0.03839528344518404,102232135,54123342
2013,0.060524741753854965,473386512,97588485
2014,0.2426752768062593,4106189372,201547262
2015,0.3694704639259011,4823222649,448980598
2016,0.12823373050575443,2695223207,478010591
2017,0.1527514108971627,486104880,86076927
