year,global,average
2009,0.04925313,0.015936929108392613
2010,0.11104313,0.03893285115092975
2011,0.7080217,0.019495361830149313
2012,0.6227704,0.08564572645490166
2013,0.25041384,0.040700880530479655
2014,0.33239704,0.016560854837218235
2015,0.13227492,0.0328378872027644
2016,0.21958291,0.0102373112384098
2017,0.08271186,0.015163898020531709
