year,month,tpr
2009,1,0.005628517823639775
2009,2,0.004
2009,3,0.0
2009,4,0.021493212669683258
2009,5,0.011235955056179775
2009,6,0.0
2009,7,0.10199004975124377
2009,8,0.05012853470437018
2009,9,0.0
2009,10,0.0066815144766146995
2009,11,0.004726536124240378
2009,12,0.019249592169657423
2010,1,0.017645576002016636
2010,2,0.0026590304765800776
2010,3,6.590509666080844E-4
2010,4,0.2948705028721153
2010,5,0.020369736391646697
2010,6,0.02959741899284612
2010,7,0.21064194781352513
2010,8,0.0682240509689408
2010,9,0.08384982121573302
2010,10,0.055592606707317076
2010,11,0.1792659072603843
2010,12,0.04331739327725226
2011,1,0.09276618690115725
2011,2,0.03957031678176039
2011,3,0.09286011058199367
2011,4,0.0896051013570729
2011,5,0.07048031713837928
2011,6,0.08353352648814542
2011,7,0.06903968247024617
2011,8,0.0676912407141274
2011,9,0.07059411492807317
2011,10,0.0773487191758766
2011,11,0.09732384484313922
2011,12,0.1158288533143936
2012,1,0.12393264582759488
2012,2,0.12456431842729995
2012,3,0.11627443214393535
2012,4,0.12168790168000902
2012,5,0.39197041960088846
2012,6,0.4422778726654624
2012,7,0.2776284398695373
2012,8,0.23715386590458412
2012,9,0.2693329531237763
2012,10,0.2682062533023961
2012,11,0.2633227217160602
2012,12,0.26582638759602273
2013,1,0.281024374539964
2013,2,0.2710058945987784
2013,3,0.21450997247144996
2013,4,0.17067231650232223
2013,5,0.22952972528882643
2013,6,0.169957763076235
2013,7,0.1371852531035639
2013,8,0.18919582431532744
2013,9,0.13082591832696858
2013,10,0.13290136396570038
2013,11,0.09222235072645922
2013,12,0.0835705697073106
2014,1,0.10588705891233402
2014,2,0.14218993477107852
2014,3,0.15181291941565586
2014,4,0.1482372269203457
2014,5,0.16143036957925935
2014,6,0.12235290895508433
2014,7,0.10431619185827866
2014,8,0.09891954483287013
2014,9,0.11311859357664507
2014,10,0.11487283012963782
2014,11,0.11567017716722487
2014,12,0.14587770540477663
2015,1,0.10693019969518505
2015,2,0.12192553398631564
2015,3,0.11792193918574422
2015,4,0.11178013154629717
2015,5,0.11185854807994265
2015,6,0.12705121343329548
2015,7,0.14283182251429688
2015,8,0.11731396314356465
2015,9,0.10669153023574143
2015,10,0.10315186720344562
2015,11,0.11432603675880226
2015,12,0.11544333245742805
2016,1,0.10783265333888274
2016,2,0.10242509055628683
2016,3,0.11453741826377546
2016,4,0.10955758896752898
2016,5,0.09909609458594723
2016,6,0.09632551977860201
2016,7,0.09823896883256189
2016,8,0.0919491481391035
2016,9,0.08831255851631693
2016,10,0.08435560526084943
2016,11,0.08262314228850137
2016,12,0.08272550583093964
2017,1,0.08123453525537519
2017,2,0.08264673480892973
2017,3,0.03626832788877915
